"'2019-11-15 10:35:30'",15,0.036,0.601,2.448,0.153,332.0737915,0.0065213423,25.4400005,101.7200012,24.7399998,101.8000031,55.7999992,'N404935640','E141121888',153.3000031,0.9,23.4200001,0.0027336423,0.0717040819,0.0000305348,0.0239431307,2.1021469,0.9,5.2563477,23,829.5,0,0,0,25,7.4990005,0.0061216331,31548,101,21
"'2019-11-15 10:35:31'",16,0.034,0.656,2.455,0.129,306.6382751,0.0063487867,25.4899998,101.7099991,24.7299995,101.8000031,55.7900009,'N404935640','E141121888',153.3000031,0.9,23.6100006,0.0025134592,0.0761950902,0.0000298119,0.0252489818,2.3883941,0.9,5.2563477,23,829.5,0,0,0,25,7.289,0.0059502041,30924,101,21
"'2019-11-15 10:35:32'",17,0.032,0.727,2.459,0.111,278.8479919,0.0061991502,25.4899998,101.7099991,24.7199993,101.8000031,55.7900009,'N404935640','E141121888',153.3000031,0.9,23.6100006,0.002309853,0.0824515801,0.0000291566,0.0271192404,3.3345683,0.9,5.2563477,23,829.5,0,0,0,26,7.9640007,0.0065012251,35332,101,21
"'2019-11-15 10:35:33'",18,0.031,0.845,2.733,0.099,241.7422028,0.0061093948,25.5400009,101.7099991,24.7399998,101.8000031,55.7999992,'N404935640','E141121888',153.3000031,0.9,23.4200001,0.0022052716,0.0944468142,0.0000319363,0.0308464682,4.163444,0.9,5.2563477,23,829.5,0,0,0,26,8.3310003,0.0068008166,37614,101,21
"'2019-11-15 10:35:34'",19,0.03,1.028,2.668,0.088,200.3241425,0.0070742815,25.5400009,101.7200012,24.7299995,101.8000031,55.7900009,'N404935640','E141121888',153.3000031,0.9,23.6200008,0.002471188,0.133047852,0.0000361007,0.0431390626,4.223187,0.9,5.2563477,23,829.5,0,0,0,26,8.4459991,0.0068946931,33187,101,21
"'2019-11-15 10:35:35'",20,0.03,1.2309999,2.58,0.083,168.2411499,0.0074251559,25.5200005,101.7200012,24.7600002,101.8000031,55.8100014,'N404935640','E141121888',153.3000031,0.9,23.6200008,0.0025937555,0.1672229992,0.0000366414,0.0539663483,4.7429504,0.9,5.2563477,23,829.5,0,0,0,26,7.0710001,0.005772245,31711,101,21
"'2019-11-15 10:35:36'",21,0.029,1.462,2.63,0.073,142.4381561,0.0063833968,25.5200005,101.7200012,24.75,101.8000031,55.7999992,'N404935640','E141121888',153.3000031,0.9,23.4300003,0.0021555199,0.1707385659,0.000032111,0.0548569439,5.793788,0.9,5.2563477,23,829.5,0,0,0,26,7.1659994,0.0058497954,29983,101,21
"'2019-11-15 10:35:37'",22,0.027,1.738,2.638,0.066,120.4782562,0.0060714726,25.5300007,101.7099991,24.7399998,101.8000031,55.8100014,'N404937296','E141127540',153.3000031,0.9,23.6200008,0.0019087981,0.1930528548,0.0000306348,0.0617647385,8.5789452,0.9,5.2563477,23,829.5,0,0,0,26,7.9720001,0.0065077552,37138,101,21
"'2019-11-15 10:35:38'",23,0.029,2.092,2.479,0.063,100.421608,0.0061921284,25.5300007,101.7099991,24.7299995,101.8000031,55.8199997,'N404937296','E141127540',153.3000031,0.9,23.3799992,0.0020909331,0.2369921972,0.0000293605,0.0756976457,9.7078333,0.9,5.2563477,23,829.5,0,0,0,26,10.6779995,0.0087167343,48725,101,21
"'2019-11-15 10:35:39'",24,0.029,2.5280001,2.778,0.061,83.4647827,0.0076358327,25.5400009,101.7099991,24.7199993,101.8000031,55.7900009,'N404937296','E141127462',153.3000031,0.9,23.3799992,0.0025784374,0.3531554431,0.0000405728,0.1125352938,10.9434195,0.9,5.2563477,23,829.5,1,0.2777777778,0.2777777778,26,7.9570007,0.0064955108,31625,101,21
"'2019-11-15 10:35:40'",25,0.029,2.9760001,2.677,0.047,71.169487,0.0073828285,25.4699993,101.7300034,24.7299995,101.8000031,55.7999992,'N404937272','E141127312',153.3000031,2.2,23.5699997,0.002493004,0.4019649009,0.0000378023,0.1278700278,13.0300961,2.2,5.2563477,23,829.5,1,0.2777777778,0.5555555556,26,8.2259998,0.0067151019,36972,101,21
"'2019-11-15 10:35:41'",26,0.027,3.4579999,2.797,0.043,61.5034714,0.007207822,25.4799995,101.7099991,24.7399998,101.8000031,55.7900009,'N404937296','E141127330',153.3000031,2.2,23.5699997,0.0022660527,0.4559964302,0.0000385606,0.144779873,13.4626074,2.2,5.2563477,23,829.5,1,0.2777777778,0.8333333333,26,9.3810005,0.0076579596,44339,101,21
"'2019-11-15 10:35:42'",27,0.026,3.9030001,2.774,0.046,54.6646996,0.007643185,25.4500008,101.7099991,24.7399998,101.8000031,55.7900009,'N404937296','E141127348',153.3000031,2.2,23.3199997,0.0023139284,0.5457645824,0.0000405534,0.1730843128,12.3912506,2.2,5.2563477,23,829.5,1,0.2777777778,1.111111111,27,7.3760004,0.0060212248,28533,101,21
"'2019-11-15 10:35:43'",28,0.028,4.2529998,2.908,0.043,50.2510948,0.0072707505,25.4599991,101.7200012,24.7399998,101.8000031,55.7900009,'N404937176','E141127132',153.3000031,6.0999999,23.5100002,0.0023704973,0.5657271421,0.0000404409,0.1794013629,12.7462854,6.0999999,5.2563477,23,829.5,1,0.2777777778,1.388888889,27,7.053,0.005757551,32490,101,21
"'2019-11-15 10:35:44'",29,0.029,4.5630002,3.026,0.035,46.9143753,0.0062564479,25.4300003,101.7099991,24.7399998,101.8000031,55.7799988,'N404937128','E141127084',153.3000031,6.0999999,23.25,0.0021126523,0.5222888264,0.0000362113,0.1655888188,13.6442041,6.0999999,5.2563477,23,829.5,1,0.2777777778,1.666666667,27,7.0689993,0.0057706117,32681,101,21
"'2019-11-15 10:35:45'",30,0.026,4.8779998,3.462,0.035,43.9922752,0.0060432209,25.3999996,101.7099991,24.7399998,101.8000031,55.7700005,'N404937008','E141126844',153.3000031,7.1999998,23.25,0.0018295489,0.5393151999,0.0000400168,0.1708126866,15.9423466,7.1999998,5.2563477,23,954.5,1.1,0.3055555556,1.972222222,27,7.9860001,0.0065191838,34773,101,21
"'2019-11-15 10:35:46'",31,0.028,5.1680002,3.438,0.033,41.5752182,0.0061214174,25.4099998,101.7099991,24.7399998,101.8000031,55.75,'N404937032','E141126730',153.1000061,0.8,23.4400005,0.0019957779,0.5787712206,0.0000402536,0.1833252847,14.680213,0.8,5.2563477,23,954.5,2,0.5555555556,2.527777778,27,7.2739997,0.0059379589,32216,101,21
"'2019-11-15 10:35:47'",32,0.032,5.4239998,3.555,0.028,39.6408539,0.0068275042,25.4200001,101.7200012,24.7399998,101.8000031,55.7400017,'N404937032','E141126736',153.1000061,0.8,23.1900005,0.0025439827,0.6775074181,0.0000464246,0.2147027313,15.2796307,0.8,5.2563477,23,954.5,2,0.5555555556,3.083333333,27,7.0250001,0.005734694,29686,101,21
"'2019-11-15 10:35:48'",33,0.03,5.6199999,3.881,0.025,38.3139076,0.0060817064,25.4200001,101.7099991,24.75,101.8000031,55.7299995,'N404937008','E141126634',153.1000061,0.8,23.1900005,0.0021244617,0.6253082704,0.0000451457,0.1980501169,15.6749268,0.8,5.2563477,23,954.5,2,0.5555555556,3.638888889,27,7.0250006,0.0057346944,29254,101,21
"'2019-11-15 10:35:49'",34,0.034,5.783,3.797,0.021,37.2418556,0.0061574189,25.3899994,101.7099991,24.7399998,101.8000031,55.7299995,'N404936984','E141126370',152.8999939,1.1,23.4200001,0.0024376975,0.6514548269,0.0000447184,0.2064424527,15.6831474,1.1,5.2563477,23,869,2,0.5555555556,4.194444444,27,7.053,0.005757551,30332,101,21
"'2019-11-15 10:35:50'",35,0.041,5.9169998,3.868,0.018,36.3837318,0.0061749729,25.3999996,101.7099991,24.7399998,101.8000031,55.7200012,'N404936960','E141126148',152.8000031,1.9,23.1700001,0.0029479567,0.6684501452,0.0000456844,0.2120493038,18.9996185,1.9,5.2563477,23,869,2,0.5555555556,4.75,27,7.7179999,0.0063004081,34934,101,21
"'2019-11-15 10:35:51'",36,0.044,5.9650002,3.805,0.016,36.083168,0.0061285382,25.4099998,101.7099991,24.7399998,101.8000031,55.7099991,'N404936960','E141125974',152.6999969,2.8,23.2299995,0.0031398707,0.6688054037,0.0000446024,0.2122562352,17.5743771,2.8,5.2563477,23,869,2,0.5555555556,5.305555556,27,8.0689993,0.0065869382,28722,101,21
"'2019-11-15 10:35:52'",37,0.051,6.0120001,3.743,0.023,35.7702026,0.0073618634,25.4099998,101.7200012,24.7299995,101.8000031,55.7099991,'N404936936','E141125818',152.5,2.5,23.4200001,0.0043717984,0.8097279877,0.0000527053,0.2572626535,15.237669,2.5,5.2563477,23,831,1.5,0.4166666667,5.722222222,27,7.4099998,0.0060489794,30521,101,21
"'2019-11-15 10:35:53'",38,0.06,5.9749999,3.449,0.016,35.930088,0.0068392287,25.3899994,101.7200012,24.7000008,101.8000031,55.6800003,'N404936912','E141125662',152.3999939,0.5,23.1599998,0.0047781587,0.7476140303,0.0000451177,0.2378953233,15.9681997,0.5,5.2563477,23,831,0.5,0.1388888889,5.861111111,27,6.9190001,0.0056481633,32710,101,21
"'2019-11-15 10:35:54'",39,0.067,5.9299998,3.467,0.017,36.1518631,0.0059654881,25.3899994,101.7099991,24.7099991,101.8000031,55.6800003,'N404936888','E141125518',152.3000031,0,23.2199993,0.0046539636,0.6471919021,0.0000395591,0.2061966503,15.4151726,0,5.2563477,23,831,0,0,5.861111111,27,7.0259995,0.0057355098,32710,101,21
"'2019-11-15 10:35:55'",40,0.072,5.868,3.448,0.013,36.4897652,0.0063083467,25.3999996,101.7099991,24.7199993,101.8000031,55.6899986,'N404936840','E141125386',152.1000061,0.1,23.4200001,0.005288716,0.6772329422,0.0000416035,0.2159750841,17.8241615,0.1,5.2563477,23,831,0,0,5.861111111,27,7.3760004,0.0060212248,32655,101,21
"'2019-11-15 10:35:56'",41,0.078,5.8099999,3.389,0.008,36.8024368,0.0061406605,25.3700008,101.7099991,24.7000008,101.8000031,55.6800003,'N404936816','E141125266',151.8999939,0.6,23.4200001,0.0055771443,0.6527150458,0.0000398046,0.208393708,20.4204502,0.6,5.2563477,23,831,0,0,5.861111111,27,8.7360001,0.0071314287,39420,101,21
"'2019-11-15 10:35:57'",42,0.083,5.8000002,3.486,0.02,36.8332787,0.0071060771,25.3700008,101.7200012,24.7199993,101.8000031,55.6500015,'N404936792','E141125140',151.8000031,2,23.2199993,0.0068676825,0.7540329763,0.000047381,0.240952013,20.233036,2,5.2563477,23,831,0.5,0.1388888889,6,27,10.3899984,0.0084816313,45738,101,21
"'2019-11-15 10:35:58'",43,0.084,5.7719998,3.386,0.009,36.9983711,0.0081766838,25.3799992,101.7200012,24.7199993,101.8000031,55.6300011,'N404936744','E141124978',151.6000061,6.6999998,23.4200001,0.0079975817,0.8634474768,0.0000529555,0.2759815508,24.6124554,6.6999998,5.2563477,23,977.5,1,0.2777777778,6.277777778,27,10.3850002,0.0084775512,54258,101,21
"'2019-11-15 10:35:59'",44,0.085,5.704,3.283,0.007,37.4155846,0.0081905939,25.3500004,101.7399979,24.7299995,101.8000031,55.6399994,'N404936696','E141124828',151.5,8.1999998,23.1599998,0.0081065584,0.8547268054,0.000051432,0.2732881237,24.1816673,8.1999998,5.2563477,23,977.5,7,1.944444444,8.222222222,27,13.7970018,0.0112628586,75720,101,21
"'2019-11-15 10:36:0'",45,0.085,5.6929998,3.559,0.012,37.4845657,0.00998133,25.3199997,101.7399979,24.7199993,101.8000031,55.6399994,'N404936672','E141124714',151.3000031,9.1999998,23.1599998,0.0098789215,1.039589766,0.0000679459,0.3324051572,18.4435482,9.1999998,5.2563477,23,977.5,9,2.5,10.72222222,27,10.2229996,0.0083453058,75720,101,21
"'2019-11-15 10:36:1'",46,0.087,5.7859998,3.639,0.005,36.894455,0.0096562565,25.2900009,101.7699966,24.7299995,101.8000031,55.6300011,'N404936576','E141124468',151.3000031,10.3000002,23.4200001,0.0097820582,1.022161737,0.0000672106,0.3268666424,29.7978783,10.3000002,5.2563477,23.7999992,977.5,8.5,2.361111111,13.08333333,27,10.5959997,0.0086497957,72977,101,21
